id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
UgzAfuwKl8dfH10sZUd4AaABAg,@TowsiantabassomSanjana,UCvvUqEPgShjYCV0DjAZMchA,1:53,0,2026-06-03T18:03:44Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwjvtTYC4bz97d8SyZ4AaABAg,@TowsiantabassomSanjana,UCvvUqEPgShjYCV0DjAZMchA,1:50,0,2026-06-03T18:03:32Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxBbVYFQ_VZNLSWWqN4AaABAg,@TowsiantabassomSanjana,UCvvUqEPgShjYCV0DjAZMchA,1:21,0,2026-06-03T18:03:03Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugym2HI6l1xzOonE8yd4AaABAg,@hrushiavhad20,UCj99QDrmstlZwYJeZkfdhyw,Make video with Indians.. because indian most followed you,0,2026-06-02T08:56:26Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwqlQEzvTlu7prNJ0R4AaABAg,@Hazeyfellow69,UC6wNr_DCPZDJH54UdqV_s5w,I knew it was propaganda when I saw blacks on the smart side,0,2026-06-01T13:08:07Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzI6HXwqaolyM4STfB4AaABAg,@BettinajerBlowlas,UCMHAOkLXy3pm0EdKOOSn9Dw,Keep up the great work!,0,2026-06-01T08:04:44Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugw88fPJdHkoXKmmFk94AaABAg,@RAHAMEEN-c1c3b,UCzPVsAwWiBchzRu1Vipn_RA,Red blue green yellow red blue green yellow red blue green yellow red blue green yellow,0,2026-05-31T15:59:02Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxJi3bfFPzWN1s0GKN4AaABAg,@RAHAMEEN-c1c3b,UCzPVsAwWiBchzRu1Vipn_RA,Red green green yellow red green red green yellow,0,2026-05-31T15:55:36Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyZXskm8FHbE2Eo8nN4AaABAg,@Arifah-si3nh,UC1ZkVYvcL6Zac2iqX2yJy8Q,"Who's rooting for Michelle the ""human calculator"" ❤❤❤",0,2026-05-31T09:32:19Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugx_dbWLSpH3QOINacN4AaABAg,@BasheerAhmad-y3k,UCDbzerv8WDfOio5sq5BloFw,5:20  i feel so bad for the girl 😢😢,0,2026-05-30T11:13:30Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzErWx6iVKuN83py0B4AaABAg,@deenstudio2000,UCLcYP8qhx8zut1enP8F9d_g,"MrBeast Sir,

Please invite us too. There are many people in Pakistan who really like and support you. We would love to be part of your show as well. You are inviting people from your own country, and we hope you can give us a chance too.

Please consider inviting us. Thank you!",0,2026-05-30T09:03:13Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzAnso-oREnUfnn9s54AaABAg,@DebokeyPaul,UCFhzd64q0s1_a88iKh_BXDA,"Mr. Beast i am in very big troble in my life..
I will die if i dont get money 10000 dollar...
I can do any thing if you gave me that money",0,2026-05-29T07:05:26Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzgwU1cDlMaI8KgvKZ4AaABAg,@AubreeTiller-x4h,UCExUC5GxFWU_2oyqE6XK64g,"Do not read this or it will spoil the game
the winner is 167 strong team!!!",0,2026-05-28T22:24:33Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwLxviH28ChEf2V5Xd4AaABAg,@ma.teresaatendido1843,UCzNleTqtKnHizoHrzlwkYUg,1:39 MICHELLE!???,0,2026-05-27T06:22:51Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyHVzctEtaozY9KNYt4AaABAg,@PepBoy-001,UCZ4fhjANTXKvlwU_R6gXpag,16:59  The most important moment of their life start with this red block 😅,0,2026-05-25T09:57:35Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugw8eTSuxVbUALme9aV4AaABAg,@ShaneGarbo,UCh-cG2NOmU2-zPCyoexx5bg,I was shock bc i saw Michelle and I said yup she is smart,0,2026-05-25T04:31:42Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugyl7VqhttCa6DYRnPZ4AaABAg,@ChandiBasfore,UCrSUfnYjaPOkUihWzOkSoWg,Justice for NASA engineer,0,2026-05-23T15:54:27Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
